Weather Condition,Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa
Clear,2012-01-03 19:00:00,-23.3,-28.5,20,0,11.3,99.52
Cloudy,2012-01-01 17:00:00,-21.4,-26.8,18,0,11.3,98.39
Drizzle,2012-01-23 21:00:00,1.1,-0.2,74,0,6.4,97.84
"Drizzle,Fog",2012-01-23 20:00:00,0.0,-1.6,85,0,1.0,98.65
"Drizzle,Ice Pellets,Fog",2012-12-17 09:00:00,0.4,-0.7,92,20,4.0,100.79
"Drizzle,Snow",2012-12-17 15:00:00,0.9,0.1,92,9,9.7,100.63
"Drizzle,Snow,Fog",2012-12-18 21:00:00,0.3,-0.1,92,7,2.4,97.79
Fog,2012-01-01 00:00:00,-16.0,-17.2,80,0,0.2,98.31
Freezing Drizzle,2012-01-07 11:00:00,-9.0,-12.2,78,6,4.8,98.44
"Freezing Drizzle,Fog",2012-01-01 02:00:00,-6.4,-9.0,82,6,3.6,98.74
"Freezing Drizzle,Haze",2012-02-01 11:00:00,-5.8,-8.3,81,9,2.0,100.28
"Freezing Drizzle,Snow",2012-01-13 03:00:00,-8.3,-10.4,79,6,2.4,99.19
Freezing Fog,2012-01-22 06:00:00,-19.0,-22.9,71,0,0.2,101.97
Freezing Rain,2012-01-07 10:00:00,-6.5,-9.0,81,7,2.8,98.22
"Freezing Rain,Fog",2012-01-07 09:00:00,-6.1,-8.7,82,7,2.8,98.32
"Freezing Rain,Haze",2012-02-01 14:00:00,-4.9,-7.5,82,6,2.0,100.34
"Freezing Rain,Ice Pellets,Fog",2012-12-17 03:00:00,-2.6,-3.7,92,28,8.0,100.95
"Freezing Rain,Snow Grains",2012-01-13 09:00:00,-5.0,-7.3,84,32,4.8,98.56
Haze,2012-01-22 12:00:00,-11.5,-16.0,68,0,4.8,100.35
Mainly Clear,2012-01-02 12:00:00,-22.8,-28.0,20,0,12.9,98.67
"Moderate Rain,Fog",2012-12-10 08:00:00,1.7,0.8,94,17,6.4,99.98
Moderate Snow,2012-01-12 15:00:00,-6.3,-7.6,83,26,0.6,99.88
"Moderate Snow,Blowing Snow",2012-12-27 10:00:00,-5.5,-6.6,92,39,0.6,100.5
Mostly Cloudy,2012-01-01 16:00:00,-23.2,-28.5,18,0,11.3,98.36
Rain,2012-01-01 18:00:00,0.3,-5.7,40,0,4.0,97.52
Rain Showers,2012-01-01 22:00:00,1.6,-7.2,37,0,6.4,98.51
"Rain Showers,Fog",2012-10-20 03:00:00,12.8,12.1,96,13,6.4,99.83
"Rain Showers,Snow Showers",2012-11-04 08:00:00,2.1,-1.8,75,17,19.3,101.09
"Rain,Fog",2012-01-23 18:00:00,0.0,-1.2,83,0,2.0,98.61
"Rain,Haze",2012-03-13 07:00:00,4.0,1.0,81,7,4.0,100.5
"Rain,Ice Pellets",2012-12-18 05:00:00,0.6,-0.6,92,24,9.7,100.12
"Rain,Snow",2012-01-10 05:00:00,0.6,-1.7,81,13,2.4,98.18
"Rain,Snow Grains",2012-12-21 00:00:00,1.9,-2.1,75,26,25.0,100.6
"Rain,Snow,Fog",2012-12-08 21:00:00,0.8,0.3,96,9,6.4,100.73
"Rain,Snow,Ice Pellets",2012-12-21 01:00:00,0.9,-0.7,88,17,4.8,99.85
Snow,2012-01-03 07:00:00,-16.7,-24.6,41,0,1.0,97.75
Snow Pellets,2012-11-24 15:00:00,0.7,-6.4,59,35,2.4,99.7
Snow Showers,2012-01-02 17:00:00,-13.3,-19.3,52,0,2.4,99.49
"Snow Showers,Fog",2012-12-26 09:00:00,-11.3,-12.7,89,7,4.0,100.63
"Snow,Blowing Snow",2012-01-13 21:00:00,-12.0,-16.2,70,24,0.6,98.11
"Snow,Fog",2012-02-10 23:00:00,-10.1,-12.0,77,4,1.2,99.38
"Snow,Haze",2012-02-01 17:00:00,-4.3,-7.2,80,0,4.0,100.61
"Snow,Ice Pellets",2012-03-03 04:00:00,-4.3,-5.9,76,19,2.8,99.4
Thunderstorms,2012-07-04 16:00:00,21.6,19.4,67,0,24.1,99.84
"Thunderstorms,Heavy Rain Showers",2012-05-29 06:00:00,10.9,9.0,88,9,2.4,100.26
"Thunderstorms,Moderate Rain Showers,Fog",2012-07-17 06:00:00,19.6,18.5,93,15,3.2,100.01
"Thunderstorms,Rain",2012-05-25 20:00:00,19.4,18.2,83,4,16.1,100.19
"Thunderstorms,Rain Showers",2012-05-29 04:00:00,11.0,7.0,68,7,6.4,99.65
"Thunderstorms,Rain Showers,Fog",2012-06-29 03:00:00,19.5,16.1,80,7,9.7,99.71
"Thunderstorms,Rain,Fog",2012-07-17 05:00:00,20.6,18.6,88,19,4.8,100.08
